F7148FA3-7B53-466D-A337-461D9FB50472,BF101953-2BBA-4F88-8C5C-1DD3F05235A1,David A.,Nonymous,NHS-GPIT@DXS.com,0300 303 5678
09CAEDF7-522A-40C9-82F1-1DCF054EF1F9,1A5CB652-4B35-4A7E-B7A3-228B578FF8A6,Mrs. Plaice,Holder,NHS-GPIT@EMIS.com,0300 303 5679
361B829B-4FD1-4AD4-9D88-891A845CCCF7,C12238F3-26CE-49A4-9EA5-8B4C4A391B36,Noto,Realo,NHS-GPIT@Informatica.com,0300 303 5680
CB84A631-9679-43F0-AC7F-0E6BAF0952C7,BBD1401B-E5DE-444F-9928-3453FAFE6111,Arthur B.,Strawman,buying.catalogue.supplier@gmail.com,0300 303 5681
C46E7F60-5412-4A89-984A-03CD9CEF7F14,AC684564-14DF-4464-9FAF-07531F9D711B,Ms. Fabri,Kated,NHS-GPIT@Microtest.com,0300 303 5682
310F930E-5207-4025-B8BA-BEC2303C1BFB,3D551940-C330-41BA-8739-B16799E0B0FB,Dr. I M,Maddup,NHS-GPIT@PAERS.com,0300 303 5682
9C6A646F-09B7-46E9-969E-DA63D3C77E48,D3E7ABF4-15DC-4BAC-AEDC-9D5CE4640BF9,Joe,Bloggs III esq.,NHS-GPIT@PCTI.com,0300 303 5684
BFC60EC8-19EB-4FE7-8016-87A56970A0C4,4D7E73B4-4F2B-4941-A907-E4ECE98B0CFC,Brian B.,Bogus,NHS-GPIT@PrescribingServices.com,0300 303 5685
70B7D8DE-494B-43AD-A713-8E6A6472FB14,067A715D-AA0D-4907-B6B8-366611CB1FC4,Mr. Les,Believable,NHS-GPIT@TPP.com,0300 303 5686
6D18403F-5F39-4CE4-A2FD-6775D4140373,ADAF944B-7ADA-49F4-AF6A-949537309296,Mary,Mannequin,NHS-GPIT@WigglyAmps.com,0300 303 5687
DFE70DAE-CA53-47D6-9185-71702F36CB4C,D6BC9186-5C8E-4638-A7B8-6F7CE7BC6946,Assessment,Team,buying.catalogue.assessment@gmail.com,000 000 000
371b20b7-3bed-487d-aa5f-995f5924e579,9c2fd4d4-98ca-41d7-b8f4-1ad6f6702127,Dr,Kool,DrKool@Really.Kool.Corporation.com,0123 456 789
